id,title,price,promo_price,url
4424700,Гель для мытья посуды WONDER Lab яблочный цвет 1л,395,295,https://www.detmir.ru/product/index/id/4424700/
3731344,Таблетки для мытья посуды Jundo Active Oxygen в посудомоечных машинах с активным кислородом 30 шт,774,356,https://www.detmir.ru/product/index/id/3731344/
3413264,Набор ершиков Babyono 5штук Серый 735/03,642,,https://www.detmir.ru/product/index/id/3413264/
3292738,Гель для посуды Meine Liebe мелисса и лемонграсс 500мл,189,,https://www.detmir.ru/product/index/id/3292738/
3596992,Ершик Munchkin для бутылочек и сосок серый Munchkin,1120,560,https://www.detmir.ru/product/index/id/3596992/
3413265,Ершик для бутылочек Babyono с губкой 720 Серый,306,236,https://www.detmir.ru/product/index/id/3413265/
3413259,Набор ершиков Babyono для бутылочек и сосок Зеленый 728/02,490,408,https://www.detmir.ru/product/index/id/3413259/
4880902,Гель для мытья посуды YokoSun Лимон 1л,469,329,https://www.detmir.ru/product/index/id/4880902/
4424703,Гель для мытья посуды WONDER Lab сливочные фрукты 550мл,275,245,https://www.detmir.ru/product/index/id/4424703/
3257803,Ёршик Lubby круглый 21053,235,,https://www.detmir.ru/product/index/id/3257803/
3473556,Гель Top House для посудомоечных машин 720 мл,1019,703,https://www.detmir.ru/product/index/id/3473556/
3798532,Гель для мытья посуды WONDER Lab Нейтральный 3.78л,995,895,https://www.detmir.ru/product/index/id/3798532/
3473558,Порошок Top House для посудомоечных машин с активным кислородом 1 кг,920,598,https://www.detmir.ru/product/index/id/3473558/
4299669,Ершик Uviton для мытья бутылочек Lux 0145 мятный,258,229,https://www.detmir.ru/product/index/id/4299669/
4692761,Средство для мытья посуды CJ LION Charmgreen для овощей и фруктов Японский абрикос 1 кг,713,427,https://www.detmir.ru/product/index/id/4692761/
4692758,Средство для мытья посуды CJ LION Charmgreen bottle овощей и фруктов зеленый чай 3.1 кг,1999,1192,https://www.detmir.ru/product/index/id/4692758/
3117733,Ершик для бутылочек и сосок BabyGo BD-19097,179,129,https://www.detmir.ru/product/index/id/3117733/
3413260,Набор ершиков Babyono для бутылочек и сосок Розовый 728/03,490,408,https://www.detmir.ru/product/index/id/3413260/
3413263,Набор ершиков Babyono 5штук Зеленый 735/02,642,,https://www.detmir.ru/product/index/id/3413263/
3489835,Жидкость для мытья посуды ARAU 400мл 32065,609,439,https://www.detmir.ru/product/index/id/3489835/
